epoch,train_loss,train_acc,test_acc
1,2.1546956373720754,21.496000000000002,26.650000000000002
2,2.0561403176006006,25.482,28.03
3,2.0334931168020987,26.124000000000002,28.77
4,2.0214466464762784,26.682,28.84
5,2.015806788084458,27.032,29.349999999999998
6,2.0128263253338483,27.266000000000002,29.020000000000003
7,2.009469671517002,27.294,29.23
8,2.011868666629402,27.178,29.770000000000003
9,2.009260336355287,27.116,28.910000000000004
10,2.0125141794584236,27.163999999999998,29.42
11,2.0119597729371517,27.486,29.9
12,2.01418416354121,27.056,28.73
13,2.0122905391819623,27.328000000000003,28.73
14,2.0089736629505546,27.134000000000004,30.25
15,2.012371679958032,27.344,29.720000000000002
16,2.0077649695532664,27.538,29.849999999999998
17,2.0045979977870476,27.413999999999998,29.62
18,2.0105172778878893,27.383999999999997,28.37
19,2.0149980442864552,27.026,28.560000000000002
20,2.0109970733827476,27.214,29.7
