epoch,train_loss,train_acc,test_acc
1,1.5346762902882634,44.757999999999996,48.1
2,1.4234679189263557,48.506,50.3
3,1.3959083630114186,49.675999999999995,51.4
4,1.3850884255097837,50.024,52.62
5,1.3779548351861992,50.136,51.129999999999995
6,1.360048114037027,50.868,51.55
7,1.3571221518273255,51.092000000000006,52.49
8,1.3469125853509318,51.476,51.239999999999995
9,1.343061928846398,51.70400000000001,51.910000000000004
10,1.3460076950034316,51.464,52.96999999999999
11,1.3359777586800712,51.849999999999994,52.92
12,1.336047611674484,51.832,51.849999999999994
13,1.3321665452451121,52.064,52.7
14,1.3337254524230957,51.992000000000004,52.61
15,1.324849427354579,52.188,52.68000000000001
16,1.3277649696992369,52.31400000000001,53.38
17,1.318011961421188,52.434000000000005,51.67
18,1.3196067767483848,52.358000000000004,52.43
19,1.3162778105054582,52.518,53.400000000000006
20,1.315833448147287,52.476,53.99
